4,7
9,3
11,53
17,8
10,42
11,69
4,77
18,13
21,54
16,64
12,32
15,36
13,27
16,46
5,26
3,28
10,37
10,68
27,87
23,21
9,12
27,39
27,49
16,56
1,2
6,39
10,67
23,74
28,27
6,9
16,28
11,84
20,67
16,53
16,27
22,81
12,63
6,26
4,71
25,12
22,100
16,5
20,25
24,60
16,98
21,4
8,4
27,88
22,39
13,23
20,13
1,4
23,23
9,86
28,11
30,64
3,49
21,76
22,47
11,25
13,3
9,68
2,15
17,77
16,96
30,19
3,3
7,84
8,52
21,18
19,68
25,73
5,49
15,89
29,84
4,39
26,40
2,93
17,62
21,7
18,69
8,66
22,47
15,96
30,19
4,61
26,94
11,2
13,82
27,37
20,2
23,52
13,81
14,95
13,14
1,99
25,25
20,53
22,14
15,70
10,60
10,19
16,65
6,96
14,9
10,12
4,7
19,51
27,8
14,29
7,46
9,3
21,92
17,42
2,3
4,38
19,42
17,16
2,77
4,52
26,43
20,96
15,27
14,37
11,92
20,56
12,92
18,7
26,14
15,89
5,59
8,79
1,84
29,7
18,5
18,45
15,22
13,97
15,88
10,83
24,97
12,16
27,97
7,73
4,71
19,26
9,88
2,30
22,99
11,31
1,95
23,51
6,16
14,66
1,79
15,82
23,87
29,65
25,19
12,94
27,98
6,18
26,24
15,56
7,84
26,25
24,61
23,96
23,22
19,79
1,9
18,77
29,57
13,79
23,79
22,64
23,91
25,61
5,29
5,36
4,3
19,91
19,36
26,40
18,47
6,59
17,78
11,51
11,77
9,9
17,100
22,31
27,53
28,4
25,9
12,94
4,100
26,74
11,71
4,93
6,32
16,73
3,88
7,43
20,51
16,19
16,24
15,41
23,42
14,57
15,83
16,60
25,34
11,18
2,47
4,21
24,62
28,88
15,16
9,13
20,82
10,17
2,82
18,81
7,1
12,72
25,88
10,66
7,65
25,25
4,93
14,90
17,39
23,4
17,7
5,20
27,49
11,93
9,94
22,53
29,10
8,78
30,56
13,18
6,26
13,32
6,89
7,72
9,98
23,81
2,92
1,93
12,37
26,69
10,57
7,25
20,45
1,64
30,45
25,20
21,24
16,87
4,73
18,40
21,34
6,74
8,20
20,65
18,51
11,87
3,55
4,74
30,13
12,100
18,18
6,27
13,71
4,55
13,72
28,13
2,14
26,31
10,52
29,90
1,29
23,9
25,88
25,83
1,20
25,57
12,1
25,79
22,96
10,13
21,27
8,73
12,11
2,73
19,99
19,65
9,39
22,10
8,56
28,26
23,74
25,12
23,66
28,45
19,23
18,29
15,82
1,89
28,6
19,56
2,22
6,31
18,93
13,86
15,33
4,23
2,94
11,80
18,25
8,21
15,81
15,97
19,52
26,56
17,45
4,61
20,30
28,27
7,32
4,71
20,23
29,71
6,28
16,76
16,75
29,100
17,46
29,18
30,80
22,54
8,83
4,91
4,5
